stationId,locationName,lat,lon,obstime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,WDIR,WDSD,TEMP,HUMD,PRES,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT,CITY,CITY_SN,TOWN,TOWN_SN,reportTime
C0S930,延平,22.904381,121.075983,2020-07-27 14:00:00,248.0,,,,,,,,102,1.8,31.5,0.65,980.2,0.0,7.9,183,2020-07-27T13:02:00+08:00,32.20,2020-07-27T11:00:00+08:00,24.30,2020-07-27T06:50:00+08:00,臺東縣,22,延平鄉,280,2020-07-27 14:41:03
C0F9Y0,桃山A,24.434519,121.295628,2020-07-27 14:00:00,3313.0,,,,,,,,174,1.2,10.3,0.99,687.5,3.5,-99,-99,-99,15.90,2020-07-27T10:30:00+08:00,7.70,2020-07-27T05:40:00+08:00,臺中市,02,和平區,104,2020-07-27 14:41:03
C0E790,卓蘭,24.314833,120.816194,2020-07-27 14:00:00,344.0,,,,,,,,286,3.4,30.1,0.87,968.2,8.5,-99,-99,-99,33.70,2020-07-27T12:50:00+08:00,23.50,2020-07-27T05:40:00+08:00,苗栗縣,11,卓蘭鎮,109,2020-07-27 14:41:03
C0O810,曾文,23.221472,120.489222,2020-07-27 14:00:00,161.0,,,,,,,,267,0.6,33.1,0.73,989.4,0.0,-99,-99,-99,34.10,2020-07-27T11:40:00+08:00,23.70,2020-07-27T06:00:00+08:00,臺南市,04,楠西區,246,2020-07-27 14:41:03
C0R520,崁頂,22.516639,120.498972,2020-07-27 14:00:00,18.0,,,,,,,,223,2.6,32.8,0.7,1005.2,0.0,-99,-99,-99,33.20,2020-07-27T12:20:00+08:00,26.90,2020-07-27T05:30:00+08:00,屏東縣,20,崁頂鄉,334,2020-07-27 14:41:03
C0G880,二水,23.812778,120.609028,2020-07-27 14:00:00,92.0,,,,,,,,272,1.6,33.8,0.57,996.7,0.0,-99,-99,-99,34.50,2020-07-27T12:50:00+08:00,24.60,2020-07-27T04:50:00+08:00,彰化縣,14,二水鄉,177,2020-07-27 14:41:03
C0R260,春日,22.372167,120.620250,2020-07-27 14:00:00,76.0,,,,,,,,0,0.2,31.5,0.72,998.5,0.0,-99,-99,-99,33.60,2020-07-27T13:00:00+08:00,26.30,2020-07-27T01:30:00+08:00,屏東縣,20,春日鄉,343,2020-07-27 14:41:03
C0U950,鶯子嶺,24.899333,121.784231,2020-07-27 14:00:00,1012.0,,,,,,,,101,2.3,22.9,1,900.2,3.5,-99,-99,-99,26.80,2020-07-27T11:30:00+08:00,21.40,2020-07-27T05:00:00+08:00,宜蘭縣,07,頭城鎮,051,2020-07-27 14:41:03
C0O860,大內,23.120611,120.352750,2020-07-27 14:00:00,38.0,,,,,,,,238,1.1,31.0,0.92,1001.9,0.5,-99,-99,-99,34.00,2020-07-27T12:00:00+08:00,25.70,2020-07-27T04:10:00+08:00,臺南市,04,大內區,252,2020-07-27 14:41:03
C0R320,車城,22.075833,120.708056,2020-07-27 14:00:00,7.0,,,,,,,,265,1.0,31.8,0.72,1007.2,7.0,-99,-99,-99,31.80,2020-07-27T14:00:00+08:00,25.80,2020-07-27T05:40:00+08:00,屏東縣,20,車城鄉,349,2020-07-27 14:41:03
